"","ANASCI","SESSO","STACIV","STUDIO","IREG","ID","ANNO","PAR","NASCREG","ETA"
"1",1953,1,1,2,2,"501068_1",2016,1,19,63
"2",1960,2,1,2,2,"501068_2",2016,2,19,56
"3",1955,1,1,3,2,"501082_1",2016,1,2,61
"4",1958,2,1,4,2,"501082_2",2016,2,2,58
"5",1961,2,1,3,2,"680914_1",2016,1,2,55
"6",1965,1,1,3,2,"680914_2",2016,2,2,51
"7",2000,2,2,3,2,"680914_3",2016,3,2,16
"8",1957,1,1,3,2,"681380_1",2016,1,2,59
"9",1957,2,1,4,2,"681380_2",2016,2,2,59
"10",1960,1,1,3,2,"700624_1",2016,2,18,56
"11",1969,2,2,3,2,"700624_2",2016,1,15,47
"12",2002,1,2,3,2,"700624_3",2016,3,2,14
"13",2008,1,2,1,2,"700624_4",2016,3,2,8
"14",1953,1,1,5,2,"801448_1",2016,1,2,63
"15",1954,2,1,5,2,"801448_2",2016,2,2,62
"16",1941,1,1,5,2,"890963_1",2016,1,2,75
"17",1944,2,1,4,2,"890963_2",2016,2,2,72
"18",1940,1,1,5,2,"890970_1",2016,1,2,76
"19",1940,2,1,5,2,"890970_2",2016,2,2,76
"20",1940,1,1,1,2,"898380_1",2016,2,2,76
"21",1945,2,1,1,2,"898380_2",2016,1,2,71
"22",1957,1,2,2,2,"898387_1",2016,1,2,59
"23",1952,2,1,2,2,"898390_1",2016,1,2,64
"24",1947,1,1,3,2,"898390_2",2016,2,2,69
"25",1963,1,2,3,2,"898401_1",2016,1,2,53
"26",1976,2,2,3,2,"898416_1",2016,1,2,40
"27",2005,1,2,2,2,"898416_2",2016,3,2,11
"28",2009,1,2,1,2,"898416_3",2016,3,2,7
"29",1944,1,1,4,2,"911016_1",2016,1,2,72
"30",1948,2,1,3,2,"911016_2",2016,2,2,68
"31",1947,1,2,3,2,"911029_1",2016,1,2,69
"32",1932,2,4,2,2,"911030_1",2016,1,15,84
"33",1950,2,4,3,2,"911033_1",2016,1,2,66
"34",1959,1,1,3,2,"911038_1",2016,1,18,57
"35",1958,2,1,3,2,"911038_2",2016,2,2,58
"36",1969,1,1,5,2,"911044_1",2016,1,19,47
"37",1968,2,1,4,2,"911044_2",2016,2,20,48
"38",2006,1,2,1,2,"911044_3",2016,3,2,10
"39",1970,2,1,4,2,"911047_1",2016,1,3,46
"40",1967,1,1,3,2,"911047_2",2016,2,3,49
"41",1994,2,2,4,2,"911047_3",2016,3,3,22
"42",1973,2,2,5,2,"911048_1",2016,1,2,43
"43",1959,2,1,3,2,"911061_1",2016,1,2,57
"44",1955,1,1,3,2,"911061_2",2016,2,2,61
"45",1961,2,2,3,2,"911067_1",2016,1,2,55
"46",1939,2,4,1,2,"911068_1",2016,1,2,77
"47",1959,1,3,3,2,"911070_1",2016,1,2,57
"48",1936,2,4,1,2,"911071_1",2016,1,2,80
"49",1960,2,1,3,2,"911078_1",2016,1,2,56
"50",1956,1,1,3,2,"911078_2",2016,2,2,60
"51",1982,1,2,3,2,"911078_3",2016,3,2,34
"52",1969,2,1,3,2,"911083_1",2016,1,1,47
"53",1963,1,1,3,2,"911083_2",2016,2,2,53
"54",1962,1,1,3,2,"911085_1",2016,1,2,54
"55",1962,2,1,3,2,"911085_2",2016,2,2,54
"56",1972,1,2,3,2,"911086_1",2016,1,2,44
"57",1970,1,1,3,2,"911087_1",2016,1,2,46
"58",1973,2,1,4,2,"911087_2",2016,2,2,43
"59",2009,1,2,1,2,"911087_3",2016,3,3,7
"60",1993,1,2,4,2,"911087_4",2016,3,2,23
"61",1973,2,2,3,2,"911093_1",2016,1,2,43
"62",1951,1,3,3,2,"911097_1",2016,1,2,65
